epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
49,2,P3,0.19,0.382,0.382,0.4743,0.091,0.3833,0.245312,1.1474614,0.0911,5,10
49,3,P7,0.3,0.735,0.735,7.3106,0.203,7.1076,2.84304,5.750375,0.2028,5,10
50,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.9069247,0.2477,5,10
50,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.9069247,0.2477,5,10
51,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.789856,3.208426,0.166,5,10
51,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.789856,3.208426,0.166,5,10
51,3,P6,0.27,0.848,0.848,5.0,0.166,4.834,3.789856,3.208426,0.166,5,10
52,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.43240005,0.9007253,0.1113,5,10
52,2,P5,0.24,0.447,0.447,2.6894,0.136,2.5534,1.634176,1.4854082,0.1359,5,10
52,3,P5,0.24,0.733,0.733,2.6894,0.136,2.5534,1.634176,1.4854082,0.1359,5,10
53,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,5.7615943,0.3025,5,10
53,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,5.7615943,0.3025,5,10
54,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,6.0554037,0.2477,5,10
54,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,6.0554037,0.2477,5,10
55,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,5.910052,0.3025,5,10
55,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,5.910052,0.3025,5,10
56,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.789856,3.688582,0.166,5,10
56,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.789856,3.688582,0.166,5,10
56,3,P6,0.27,0.848,0.848,5.0,0.166,4.834,3.789856,3.688582,0.166,5,10
57,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.245312,-0.9876894,0.0911,5,10
57,2,P2,0.18,0.366,0.366,0.1799,0.075,0.10490000000000001,0.04196,0.7328374,0.0746,5,10
57,3,P3,0.19,0.607,0.607,0.4743,0.091,0.3833,0.245312,-0.9876894,0.0911,5,10
57,4,P5,0.24,0.893,0.893,2.6894,0.136,2.5534,1.02136,0.9810154,0.1359,5,10
58,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,1.2342894,0.3695,5,10
59,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.789856,3.0221944,0.166,5,10
59,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.789856,3.0221944,0.166,5,10
59,3,P6,0.27,0.848,0.848,5.0,0.166,4.834,3.789856,3.0221944,0.166,5,10
60,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.245312,-0.8420218,0.0911,5,10
60,2,P3,0.19,0.382,0.382,0.4743,0.091,0.3833,0.245312,-0.8420218,0.0911,5,10
60,3,P9,0.4,0.834,0.834,9.5257,0.302,9.223700000000001,3.6894798,2.1668093,0.3025,5,10
61,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.02136,-0.1355704,0.1359,5,10
61,2,P10,0.47,0.706,0.706,9.8201,0.37,9.4501,3.78004,6.1070933,0.3695,5,10
62,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.69184005,1.5257714,0.1113,5,10
62,2,P3,0.19,0.402,0.402,0.4743,0.091,0.3833,0.15332,1.018942,0.0911,5,10
62,3,P4,0.21,0.663,0.663,1.192,0.111,1.081,0.69184005,1.5257714,0.1113,5,10
62,4,P1,0.16,0.874,0.874,0.0669,0.061,0.0059000000000000025,0.0023599998,1.8726053,0.0611,5,10
63,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.634176,1.2566512,0.1359,5,10
63,2,P6,0.27,0.502,0.502,5.0,0.166,4.834,1.9336001,1.5014282,0.166,5,10
63,3,P5,0.24,0.788,0.788,2.6894,0.136,2.5534,1.634176,1.2566512,0.1359,5,10
64,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,3.9388409,0.3025,5,10
64,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,3.9388409,0.3025,5,10
65,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,0.73700994,0.0746,5,10
65,2,P9,0.4,0.577,0.577,9.5257,0.302,9.223700000000001,3.6894798,2.239442,0.3025,5,10
65,3,P4,0.21,0.838,0.838,1.192,0.111,1.081,0.43240005,1.3243074,0.1113,5,10
66,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,-0.50180256,0.0746,5,10
66,2,P10,0.47,0.645,0.645,9.8201,0.37,9.4501,3.78004,3.3487337,0.3695,5,10
67,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,6.8310432,0.3025,5,10
67,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,6.8310432,0.3025,5,10
68,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.7015915,0.0611,5,10
68,2,P10,0.47,0.631,0.631,9.8201,0.37,9.4501,3.78004,2.804057,0.3695,5,10
69,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,5.7680798,0.2477,5,10
69,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,5.7680798,0.2477,5,10
70,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,5.340353,0.3025,5,10
70,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,5.340353,0.3025,5,10
71,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,0.84067273,0.0746,5,10
71,2,P8,0.35,0.523,0.523,8.808,0.248,8.56,5.4783998,4.5712485,0.2477,5,10
72,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0037759996,-0.50785357,0.0611,5,10
72,2,P1,0.16,0.322,0.322,0.0669,0.061,0.0059000000000000025,0.0037759996,-0.50785357,0.0611,5,10
72,3,P4,0.21,0.583,0.583,1.192,0.111,1.081,0.69184005,0.5645148,0.1113,5,10
72,4,P4,0.21,0.844,0.844,1.192,0.111,1.081,0.69184005,0.5645148,0.1113,5,10
73,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.067136005,0.6895072,0.0746,5,10
73,2,P2,0.18,0.35,0.35,0.1799,0.075,0.10490000000000001,0.067136005,0.6895072,0.0746,5,10
73,3,P6,0.27,0.666,0.666,5.0,0.166,4.834,3.09376,2.3409505,0.166,5,10
74,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.43240005,0.45874095,0.1113,5,10
74,2,P5,0.24,0.447,0.447,2.6894,0.136,2.5534,1.634176,1.8999758,0.1359,5,10
74,3,P5,0.24,0.733,0.733,2.6894,0.136,2.5534,1.634176,1.8999758,0.1359,5,10
75,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.02136,0.14165759,0.1359,5,10
75,2,P8,0.35,0.584,0.584,8.808,0.248,8.56,5.4783998,4.3522534,0.2477,5,10
76,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.15332,0.08756024,0.0911,5,10
76,2,P2,0.18,0.366,0.366,0.1799,0.075,0.10490000000000001,0.067136005,1.0463735,0.0746,5,10
76,3,P2,0.17,0.591,0.591,0.1799,0.075,0.10490000000000001,0.067136005,1.0463735,0.0746,5,10
76,4,P5,0.24,0.877,0.877,2.6894,0.136,2.5534,1.02136,1.7238148,0.1359,5,10
77,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.09376,4.2287126,0.166,5,10
